YEAR,solar_mean,rain_total,humidity_mean,temp_mean,wind_mean,region
2016,18.7,-999.0,68.18,15.95,2.31,Yolo_CA
2017,18.5,-999.0,66.67,15.99,2.33,Yolo_CA
2018,18.98,-999.0,61.73,16.18,2.28,Yolo_CA
2019,18.51,-999.0,66.49,15.77,2.32,Yolo_CA
2020,18.89,-999.0,57.38,17.14,2.26,Yolo_CA
2021,19.19,-999.0,60.39,16.46,2.46,Yolo_CA
2022,19.45,-999.0,60.14,16.47,2.38,Yolo_CA
2023,18.57,-999.0,68.44,15.37,2.3,Yolo_CA
2024,18.69,-999.0,65.15,16.91,2.34,Yolo_CA
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Yolo_CA
2000,15.69,-999.0,61.51,13.1,3.42,Riley_KS
2001,15.92,-999.0,68.42,12.84,3.32,Riley_KS
2002,16.02,-999.0,62.9,12.73,3.41,Riley_KS
2003,15.64,-999.0,64.9,12.36,3.28,Riley_KS
2004,15.65,-999.0,70.06,12.21,3.4,Riley_KS
2005,15.73,-999.0,70.53,12.5,3.32,Riley_KS
2006,15.91,-999.0,63.84,13.45,3.43,Riley_KS
2007,15.37,-999.0,75.28,12.15,3.37,Riley_KS
2008,15.32,-999.0,74.59,10.81,3.46,Riley_KS
2009,15.17,-999.0,72.06,11.23,3.38,Riley_KS
2010,15.56,-999.0,72.34,12.25,3.25,Riley_KS
2011,15.91,-999.0,65.93,12.39,3.34,Riley_KS
2012,16.77,-999.0,60.58,14.5,3.36,Riley_KS
2013,15.32,-999.0,67.12,11.59,3.45,Riley_KS
2014,15.79,-999.0,64.89,11.68,3.53,Riley_KS
2015,15.37,-999.0,69.72,12.79,3.22,Riley_KS
2016,15.96,-999.0,71.97,13.35,3.28,Riley_KS
2017,15.8,-999.0,67.03,13.22,3.43,Riley_KS
2018,15.21,-999.0,70.1,12.11,3.25,Riley_KS
2019,15.41,-999.0,80.43,10.99,3.27,Riley_KS
2020,15.72,-999.0,71.51,12.28,3.25,Riley_KS
2021,15.61,-999.0,67.56,13.36,3.27,Riley_KS
2022,16.25,-999.0,60.49,12.64,3.52,Riley_KS
2023,16.11,-999.0,63.27,13.71,3.12,Riley_KS
2024,16.32,-999.0,65.6,13.9,3.21,Riley_KS
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Riley_KS
2000,14.09,-999.0,76.14,10.64,3.09,Champaign_IL
2001,14.52,-999.0,76.67,11.51,3.03,Champaign_IL
2002,14.34,-999.0,79.09,11.13,3.1,Champaign_IL
2003,14.43,-999.0,78.47,10.38,3.08,Champaign_IL
2004,14.44,-999.0,80.38,10.86,3.14,Champaign_IL
2005,14.67,-999.0,78.52,11.34,2.91,Champaign_IL
2006,14.05,-999.0,79.88,11.46,3.04,Champaign_IL
2007,14.58,-999.0,77.9,11.58,3.05,Champaign_IL
2008,14.33,-999.0,81.13,10.0,3.23,Champaign_IL
2009,13.75,-999.0,81.3,10.34,3.05,Champaign_IL
2010,14.96,-999.0,78.55,11.31,2.94,Champaign_IL
2011,13.87,-999.0,80.35,11.32,3.1,Champaign_IL
2012,15.42,-999.0,74.37,12.69,3.07,Champaign_IL
2013,13.94,-999.0,79.02,10.35,3.08,Champaign_IL
2014,14.13,-999.0,79.56,9.39,3.09,Champaign_IL
2015,14.41,-999.0,79.03,11.16,3.03,Champaign_IL
2016,14.41,-999.0,79.39,12.01,2.99,Champaign_IL
2017,14.69,-999.0,76.68,11.97,3.11,Champaign_IL
2018,14.33,-999.0,80.74,11.07,3.0,Champaign_IL
2019,13.93,-999.0,80.95,11.06,3.06,Champaign_IL
2020,14.27,-999.0,77.76,11.57,2.96,Champaign_IL
2021,14.35,-999.0,77.89,11.8,2.96,Champaign_IL
2022,14.37,-999.0,74.26,11.23,3.18,Champaign_IL
2023,14.53,-999.0,71.75,12.48,2.92,Champaign_IL
2024,14.86,-999.0,73.23,12.91,3.03,Champaign_IL
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Champaign_IL
2000,15.38,-999.0,62.52,11.53,3.48,Lancaster_NE
2001,15.64,-999.0,69.17,11.4,3.46,Lancaster_NE
2002,15.75,-999.0,63.49,11.38,3.58,Lancaster_NE
2003,15.6,-999.0,65.36,10.94,3.37,Lancaster_NE
2004,15.33,-999.0,68.98,11.01,3.44,Lancaster_NE
2005,15.66,-999.0,67.35,11.78,3.49,Lancaster_NE
2006,15.56,-999.0,66.16,11.87,3.51,Lancaster_NE
2007,15.61,-999.0,75.15,10.83,3.54,Lancaster_NE
2008,15.5,-999.0,74.54,9.32,3.51,Lancaster_NE
2009,14.98,-999.0,71.99,9.83,3.43,Lancaster_NE
2010,15.42,-999.0,73.52,10.57,3.33,Lancaster_NE
2011,15.45,-999.0,68.16,10.82,3.4,Lancaster_NE
2012,16.69,-999.0,58.9,13.4,3.52,Lancaster_NE
2013,15.2,-999.0,67.78,10.24,3.57,Lancaster_NE
